Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,54302.44,651629.28,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
[Esfera] Assessment Migration OCI to AWS-V2 > OpenSearch,US East (N. Virginia),PRD OpenSearch,Amazon OpenSearch Service,0,2412.38,28948.56,USD,"Number of instances (4), Storage for each Amazon OpenSearch Service instance (General Purpose SSD (gp3)), Number of nodes (0), Instance type (ultrawarm1.large.search), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand), Nodes (4), Instance type (r5.2xlarge.search), Utilization (On-Demand only) (100 %Utilized/Month), Instance Node Type (Memory optimized), Storage Type (EBS Only), Pricing strategy (Reserved No Upfront 3yr), Nodes (3), Instance type (c7i.large.search), Utilization (On-Demand only)  (100 %Utilized/Month), Instance Node Type (Compute optimized), Storage Type (EBS Only), Pricing strategy (Reserved No Upfront 3yr), Storage amount per volume (gp3) (2000 GB), Provisioning IOPS per volume (gp3) (9000), Provisioning throughput (MB/s) per volume (gp3) (450 MBps)"
[Esfera] Assessment Migration OCI to AWS-V2 > OpenSearch,US East (N. Virginia),STG OpenSearch,Amazon OpenSearch Service,0,1212.18,14546.16,USD,"Number of instances (3), Storage for each Amazon OpenSearch Service instance (General Purpose SSD (gp3)), Number of nodes (0), Instance type (ultrawarm1.large.search), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand), Nodes (3), Instance type (r7i.xlarge.search), Utilization (On-Demand only) (100 %Utilized/Month), Instance Node Type (Memory optimized), Storage Type (EBS Only), Pricing strategy (Reserved No Upfront 3yr), Nodes (3), Instance type (c7g.large.search), Utilization (On-Demand only)  (100 %Utilized/Month), Instance Node Type (Compute optimized), Storage Type (EBS Only), Pricing strategy (Reserved No Upfront 3yr), Storage amount per volume (gp3) (1500 GB), Provisioning IOPS per volume (gp3) (6000), Provisioning throughput (MB/s) per volume (gp3) (300 MBps)"
[Esfera] Assessment Migration OCI to AWS-V2 > EC2,US East (N. Virginia),VM.Standard.E4.Flex - r6a.large,Amazon EC2 ,0,43.18,518.16,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (r6a.large), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EC2,US East (N. Virginia),VM.Standard.E4.Flex - r6a.2xlarge,Amazon EC2 ,0,345.47,4145.64,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (r6a.2xlarge), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EC2,US East (N. Virginia),VM.Standard.E4.Flex - r6a.large,Amazon EC2 ,0,1381.83,16581.96,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (r6a.4xlarge), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EC2,US East (N. Virginia),VM.Standard2.2 - r6a.xlarge,Amazon EC2 ,0,777.3,9327.60,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 9), Advance EC2 instance (r6a.xlarge), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EC2,US East (N. Virginia),VM.Standard3.Flex - r6a.xlarge,Amazon EC2 ,0,86.37,1036.44,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (r6a.xlarge), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EC2,US East (N. Virginia),VM.Standard.E4.Flex - r6a.large,Amazon EC2 ,0,129.54,1554.48,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 3), Advance EC2 instance (r6a.large), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EC2,US East (N. Virginia),VM.Standard.E4.Flex - t3a.large,Amazon EC2 ,0,179.27,2151.24,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 3), Advance EC2 instance (c7i-flex.xlarge), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EC2,US East (N. Virginia),VM.Standard.E4.FleX - r6a.large,Amazon EC2 ,0,172.72,2072.64,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (r6a.large), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EC2,US East (N. Virginia),VM.Standard.E4.Flex - r6a.2xlarge,Amazon EC2 ,0,345.47,4145.64,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (r6a.2xlarge), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EC2,US East (N. Virginia),VM.Standard.E4.Flex - c6a.4xlarge,Amazon EC2 ,0,647.12,7765.44,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 3), Advance EC2 instance (c6a.4xlarge), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EC2,US East (N. Virginia),VM.Standard2.1 - r6a.large,Amazon EC2 ,0,474.97,5699.64,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 11), Advance EC2 instance (r6a.large), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EC2,US East (N. Virginia),VM.Standard.E4.Flex - t3a.large,Amazon EC2 ,0,956.18,11474.16,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 8), Advance EC2 instance (c7i-flex.2xlarge), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EC2,US East (N. Virginia),VM.Standard.E4.Flex - t3a.large,Amazon EC2 ,0,567.18,6806.16,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m7i-flex.2xlarge), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > Amazon MQ,US East (N. Virginia),STG AmazonMQ,Amazon MQ,0,230.24,2762.88,USD,"Broker type (Single-instance Broker), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Amazon RabbitMQ Broker Instance (mq.m5.large), Storage per Broker (200 GB), Number of Brokers running (1)"
[Esfera] Assessment Migration OCI to AWS-V2 > Amazon MQ,US East (N. Virginia),TST Amazon MQ,Amazon MQ,0,39.74,476.88,USD,"Broker type (Single-instance Broker), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Amazon RabbitMQ Broker Instance (mq.t3.micro), Storage per Broker (200 GB), Number of Brokers running (1)"
